KEGGid,SMILES_by_CAS
C00001,O
C00002,Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)C(O)C3O
C00003,NC(=O)c1ccc[n+](c1)C2OC(CO[P]([O-])(=O)O[P](O)(=O)OCC3OC(C(O)C3O)n4cnc5c(N)ncnc45)C(O)C2O
C00004,NC(=O)C1=CN(C=CC1)[C@@H]2O[C@H](CO[P](O)(=O)O[P](O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3O)c4[nH]c5c(N)ncnc5n4)[C@@H](O)[C@H]2O
C00005,NC(=O)C1=CN(C=CC1)[C@@H]2O[C@H](CO[P](O)(=O)O[P](O)(=O)OC[C@H]3O[C@H]([C@H](O[P](O)(O)=O)[C@@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O
C00006,NC(=O)c1ccc[n+](c1)[C@@H]2O[C@H](CO[P]([O-])(=O)O[P](O)(=O)OC[C@H]3O[C@H]([C@H](O[P](O)(O)=O)[C@@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O
C00007,O=O
C00008,Nc1ncnc2n(cnc12)C3OC(CO[P](O)(=O)O[P](O)(O)=O)C(O)C3O
C00009,O[P](O)(O)=O
C00010,CC(C)(CO[P](O)(=O)O[P](O)(=O)OCC1OC(C(O)C1O[P](O)(O)=O)n2cnc3c(N)ncnc23)C(O)C(=O)NCCC(=O)NCCS
C00011,O=C=O
C00012,None
C00013,O[P](O)(=O)O[P](O)(O)=O
C00014,None
C00015,OC1C(O)C(OC1CO[P](O)(=O)O[P](O)(O)=O)N2C=CC(=O)NC2=O
C00016,Cc1cc2N=C3C(=O)NC(=O)N=C3N(CC(O)C(O)C(O)CO[P](O)(=O)O[P](O)(=O)OCC4OC(C(O)C4O)n5cnc6c(N)ncnc56)c2cc1C
C00017,None
C00018,Cc1ncc(CO[P](O)(O)=O)c(C=O)c1O
C00019,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23
C00020,Nc1ncnc2n(cnc12)C3OC(CO[P](O)(O)=O)C(O)C3O
C00021,NC(CCSCC1OC(C(O)C1O)n2cnc3c(N)ncnc23)C(O)=O
C00022,CC(=O)C(O)=O
C00023,[Fe]
C00024,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)CO[P](O)(=O)O[P](O)(=O)OCC1OC(C(O)C1O[P](O)(O)=O)n2cnc3c(N)ncnc23
C00025,NC(CCC(O)=O)C(O)=O
C00026,OC(=O)CCC(=O)C(O)=O
C00027,OO
C00028,None
C00029,OCC1OC(O[P](O)(=O)O[P](O)(=O)OCC2OC(C(O)C2O)N3C=CC(=O)NC3=O)C(O)C(O)C1O
C00030,None
C00031,OCC1OC(O)C(O)C(O)C1O
