C04435,C=C(CC=C(C)C=O)C(C)C
C16890,CC(CCCC(CO)CO)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C
C17467,OCc1ccc(O)cc1
C00650,N#CC(O)c1ccc(O)cc1
C17466,O=C(CC(O)(CC(=O)OCc1ccc(OC2OC(CO)C(O)C(O)C2O)cc1)C(=O)O)OCc1ccc(OC2OC(CO)C(O)C(O)C2O)cc1
C04013,NAN
C11376,CCc1c2c(nc3ccc(OC4OC(C(=O)O)C(O)C(O)C4O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC
C17469,CC1=C(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C12
C16895,CNC1CCC2(C)C(CC=C3C2CCC2(C)C3CCC2C(C)C=CC2=C(C)CN(C)CC2)C1
C17468,COC1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C2C1C
C06525,C=Cc1cncc2c1CCOC2=O
C09579,C=C1C(=O)OC2C1CCC(=C)C1CC(OC3OC(CO)C(O)C(O)C3O)C(=C)C12
C11374,NAN
C03665,CC(C)(N)C(=O)O
C17656,CC(C)C1CC2C3(C)CC4(O)OC(C5C(C)C(O)CC53O)C2(O)C14C
C13482,CN(C)CCOP(=O)(O)O
C13480,NAN
C13487,CC=CC1C(C(=O)OCc2c(F)c(F)c(COC)c(F)c2F)C1(C)C
C20346,NAN
C19621,O=C(O)CCCCCCCC(O)C(O)CCCCCCCCO
C19620,O=C(O)CCCCCCCC1OC1CCCCCCCCO
C19623,O=C(O)CCCCCCCCCCCCCCCCCCCCCO
C19622,NAN
C19625,O=C(O)CCCCCCCCCCCCCCCCCCCCC(=O)O
C19624,O=CCCCCCCCCCCCCCCCCCCCCC(=O)O
C19995,NAN
C19994,NAN
C19999,CC1C(OS(=O)(=O)O)CC2CC(C(O)c3cc(=O)[nH]c(=O)[nH]3)NC3=NCC1N32
C19998,NAN
C16537,CCCCCCCCCCCCCCC(=O)O
C00192,NO
C03723,NAN
C02131,CC(=O)NCCCCNC(=N)N
C02130,CC(=O)OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O
C02133,O=COP(=O)(O)O
C02132,CC(=O)CC(=O)C(=O)O
