C04435 , CC(C)C(=C)C\C=C(\C)C=O
C16890 , C[C@H](CCCC(CO)CO)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
C17467 , OCc1ccc(O)cc1
C00650 , N
C17466 , N
C04013 , N
C11376 , N
C17469 , N
C16895 , None
C17468 , CO[C@]1(CC[C@@H](C)CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O[C@H]3C[C@H]4[C@@H]5CC=C6C[C@H](CC[C@]6(C)[C@H]5CC[C@]4(C)[C@H]3[C@@H]1C)O[C@@H]7O[C@H](CO)[C@@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H](O)C7O[C@@H]9O[C@@H](C)[C@H](O)[C@@H](O)[C@H]9O
C06525 , C=Cc1cncc2C(=O)OCCc12
C09579 , OC[C@H]1O[C@@H](O[C@H]2C[C@@H]3[C@@H]([C@H]4OC(=O)C(=C)[C@@H]4CCC3=C)C2=C)[C@H](O)[C@@H](O)[C@@H]1O
C11374 , CC1=NC(=O)c2c(N1)ccc3ccc(CNc4ccc5c(CN([C@@H](CCC(O)=O)C(O)=O)C5=O)c4)cc23
C03665 , CC(C)(N)C(O)=O
C17656 , N
C13482 , N
C13480 , CC(C)OC(=O)OCO[P](=O)(CO[C@H](C)Cn1cnc2c(N)ncnc12)OCOC(=O)OC(C)C
C13487 , COCc1c(F)c(F)c(COC(=O)C2C(\C=C\C)C2(C)C)c(F)c1F
C20346 , None
C19621 , N
C19620 , N
C19623 , N
C19622 , N
C19625 , N
C19624 , N
C19995 , None
C19994 , N
C19999 , C[C@H]1[C@H](C[C@@H]2C[C@@H](NC3=NC[C@H]1N23)[C@H](O)C4=CC(=O)NC(=O)N4)O[S](O)(=O)=O
C19998 , CO[P](O)(=O)ON1[C@H](CN=C1N)CN(C)C
C16537 , N
C00192 , NO
C03723 , N
C02131 , None
C02130 , N
C02133 , N
C02132 , N
C02135 , CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(O)=O)C(C)C)C(=O)N[C@@H](Cc2[nH]cnc2)C(=O)N3CCC[C@H]3C(=O)N[C@@H](Cc4ccccc4)C(O)=O
C02134 , COc1ccc2CC(=O)c3cc4OCOc4cc3CCN(C)Cc2c1OC
C02137 , OC(=O)C(=O)c1ccccc1
C02139 , None
C02138 , N
C17302 , CCOC(=O)C(Cl)Cc1ccc(OCC(C)(C)c2ccccc2)cc1
C05841 , N
C12609 , [Na+].COC1C(OC(N)=O)C(O)C(Oc2ccc3C(=O)[C-](NC(=O)c4ccc(O)c(CC=C(C)C)c4)C(=O)Oc3c2C)OC1(C)C
C13668 , NAN
C13667 , N[S](=O)(=O)c1cccc2c3NC(=O)C(=O)Nc3cc(c12)[N+]([O-])=O
C13666 , CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)c3c[nH]c4ccccc34
C13665 , N
C13664 , C[N+](C)(C)CCc1c[nH]c2ccc([O-])cc12
C01368 , OC[C@H]1O[C@H]([C@H](O)[C@@H]1O[P](O)(O)=O)N2C=CC(=O)NC2=O
C06362 , N
C13660 , OC(=O)CC(O)(CC(O)=O)C(O)=O.C1CNCCN1
C01800 , N
C01801 , O[C@@H]1C[C@H](O)[C@H](O)CO1
C01802 , C[C@H](CCC=C(C)C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
C19198 , [Na+].CCN(Cc1cccc(c1)[S]([O-])(=O)=O)c2ccc(cc2)[C+](c3ccc(cc3)N(C)C)c4ccc(cc4)N(CC)Cc5cccc(c5)[S]([O-])(=O)=O
C01804 , N
C01806 , N
C19193 , CN(C)c1ccc(cc1)C(=N)c2ccc(cc2)N(C)C
C19192 , [O--].[O--].[O--].[Sb+3].[Sb+3]
C19191 , COc1ccccc1N
C19190 , None
C19197 , c1ccc2c(c1)ccc3ccc4ccccc4c23
C19196 , c1ccc2c(c1)ccc3c4cccc5cccc(c45)c23
C19195 , c1ccc2c(c1)ccc3c4C=Cc5cccc(cc23)c45
C19194 , NC(COC(=O)C=[N+]=[N-])C(O)=O
C17652 , N
C04432 , N
C15624 , N
C15767 , N
C16980 , CC[C@H]1CN2CC[C@]3([C@@H]2C[C@@H]1\C(=C/OC)C(=O)OC)C(=O)Nc4ccccc34
C05843 , CN1C=CC(=O)C(=C1)C(N)=O
C00655 , O[C@H]1[C@@H](O)[C@@H](O[C@@H]1CO[P](O)(O)=O)n2cnc3C(=O)NC(=O)Nc23
C11889 , CC(C)=C1CC[C@H]2C(=C1)CC[C@@H]3[C@]2(C)CCC[C@@]3(C)C(O)=O
C04019 , N
C05844 , N[C@@H](CCC(=O)NCC[S](O)(=O)=O)C(O)=O
C17568 , COC1=C(OC)C(=O)C(=C(C)C1=O)C\C=C(C)\CC\C=C(C)\CC\C=C(C)\CC\C=C(C)\CC\C=C(C)\CCC=C(C)C
C12049 , CN[C@@H]1[C@@H](O)[C@@H](O)[C@@H](C)O[C@@H]1O[C@H]\2[C@H](OC(=O)c3c(O)ccc4c(C)cc(OC)cc34)C=C5C#C[C@@]6(O[C@@H]6C#C/C=C25)[C@H]7COC(=O)O7
C18578 , [O-][N+](=O)c1cc(c(Cl)c(c1Nc2ncc(cc2Cl)C(F)(F)F)[N+]([O-])=O)C(F)(F)F
C18579 , Cc1cc(C)nc(N\N=C(\C)c2ccccc2C)n1
C12044 , CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)C(=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)/C)cc(O)c4c3C2=O
C12045 , CO[C@@H]1\C=C\C=C(/C)Cc2cc(OC)c(Cl)c(c2)N(C)C(=O)C[C@H](OC(=O)C(C)C)[C@]3(C)O[C@H]3[C@H](C)[C@@H]4C[C@@]1(O)NC(=O)O4
C12046 , CC(C)CCCCCCC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1Oc2c3Oc4ccc(C[C@H]5NC(=O)[C@H](N)c6ccc(O)c(Oc7cc(O)cc(c7)[C@H](NC5=O)C(=O)N[C@H]8C(=O)N[C@H]9C(=O)N[C@@H]([C@H](O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10NC(C)=O)c%11ccc(Oc2cc8c3)c(Cl)c%11)C(=O)N[C@@H](C(O)=O)c%12cc(O)cc(O[C@H]%13O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]%13O)c%12c%14cc9ccc%14O)c6)cc4Cl
C12047 , None
C12040 , N
C12041 , CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@@H](NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H](Cc4ccccc4)NC(=O)[C@@H]5CCCN5C(=O)[C@@H](Cc6ccccc6)NC1=O)C(C)C
C12042 , CCCCCCCCCCCCCC(O)CC(=O)N[C@@H](CCC(O)=O)C(=O)N[C@H](CCCN)C(=O)N[C@@H]1Cc2ccc(OC(=O)[C@@H](NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](C)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@@H](NC1=O)[C@H](C)O)[C@H](C)CC)cc2
C12043 , CC(C)CCCCCCCCC[C@@H]1CC(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)O1
C05845 , N
C08856 , CO[C@H]1[C@H](O)[C@@H](O[C@@H](C)[C@@H]1O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4
C03268 , N
C06349 , COc1cc2CCN[C@H](Cc3ccc(O)cc3)c2cc1O
C06346 , Oc1ccc(CC2NCCc3cc(O)c(O)cc23)cc1
C06347 , Oc1ccc(C[C@H]2NCCc3cc(O)c(O)cc23)cc1
C06344 , N
C06345 , N
C06342 , N
C03263 , Cc1c2Cc3[nH]c(Cc4[nH]c(Cc5[nH]c(Cc([nH]2)c1CCC(O)=O)c(C)c5CCC(O)=O)c(C)c4CCC(O)=O)c(CCC(O)=O)c3C
C03260 , N
C06341 , CC(CO)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
C08780 , COC(=O)C[C@H]1[C@@]2(C)[C@H](C[C@@H](OC(C)=O)[C@@]3(C)CO[C@@H]([C@H]4O[C@@H]5C[C@H](C(=C5[C@@]14C)C)c6cocc6)[C@H]23)OC(=O)C(/C)=C/C
C08781 , CC1=CC(=O)[C@]2(C)[C@H]3[C@@H](O)[C@@H]4OC(=O)[C@H]5[C@]4(C)OC[C@@]35C(=O)C=C12
C08782 , COC(=O)[C@@]12OC[C@@]34[C@@H](C[C@H]5[C@H](C)C6=CC(=O)OC6=C[C@]5(C)[C@H]3[C@@H](O)[C@@H]1O)OC(=O)[C@H](OC(C)=O)[C@@H]24
C08783 , CC[C@@H](C)C(=O)O[C@@H]1[C@H]2[C@]3(C)OC[C@]24[C@@H](C[C@H]5C(=CC(=O)[C@@H](O)[C@]5(C)[C@H]4[C@@H](O)[C@@H]3O)C)OC1=O
C08784 , C[C@H]1[C@@H](O)[C@]2(O)OC[C@@]34[C@@H](C[C@H]5C(=CC(=O)[C@@H](O)[C@]5(C)[C@@H]23)C)OC(=O)[C@H](OC(=O)CC(C)(C)O)[C@@H]14
C08785 , COC(=O)C[C@H]1C(C)(C)C(=O)C=C[C@]1(C)[C@H]2[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@]3(C)[C@@H](C[C@H]4O[C@@]34C2=C)c5cocc5
C08038 , NC(Nc1ccc(Cl)cc1)=NC(N)=NCCCCCCN=C(N)N=C(N)Nc2ccc(Cl)cc2.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
C08039 , Oc1c(Cl)cc(Cl)c(Cl)c1Cc2c(O)c(Cl)cc(Cl)c2Cl
C08788 , CC1(C)OC(=O)C=C[C@@]2(C)[C@H]1CC(=O)[C@]3(C)[C@@H]2[C@@H](O)C[C@@]4(C)[C@@H](OC(=O)[C@H]5O[C@@]345)c6cocc6
C08037 , None
C08034 , None
C08853 , C[C@@H]1C[C@@H](OC(C)=O)[C@H](O)[C@@H](O1)O[C@H]2CC[C@]3(C=O)[C@H]4[C@H](O)C(=O)[C@]5(C)[C@H](CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C6=COC(=O)C=C6
C08032 , None
C08033 , CCN(CC)CC[S](=O)(=O)[C@@H]1CCN2C1C(=O)O[C@H](C(C)C)[C@H](C)\C=C/C(=O)NC/C=C\C(=C/[C@@H](O)CC(=O)Cc3occ(n3)C2=O)C
C08031 , CCCCCCCCCCCCO[S](O)(=O)=O.CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3OC(=O)CC)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
C14914 , N
C14915 , N
C14916 , CCC1(NC(=O)NC1=O)c2ccccc2
C14917 , N
C14910 , N
C14911 , N
C14912 , C[C@]12CC[C@H]3[C@@H](CC[C@H]4CC(=O)CC[C@]34C)[C@@H]1CCC(=O)O2
C14913 , N
C18712 , O|[Cu]|O
C04271 , Oc1ccc2[C@@H]3Oc4cc(O)ccc4[C@@H]3COc2c1
C04272 , N
C04273 , N
C04274 , [O-][N+](=O)c1ccc(OCC2CO2)cc1
C04275 , N
C04276 , N
C04277 , N
C09929 , CC(C)=CC[C@@H](C[C@@]12C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)\C(=C(O)\c3ccc(O)c(O)c3)C1=O)C2=O)C(C)=C
C09928 , COc1cc2[C@@H](O)C[C@@H](C)C(=O)c2cc1C
C09923 , COc1cc(C)c(Oc2cc(C)cc(O)c2)c(O)c1
C09922 , COc1cc(ccc1O)[C@@H]2Oc3c(OC)cc4C=CC(=O)Oc4c3O[C@H]2CO
C09921 , CCC\C=C\1OC(=O)c2c(O)cccc12
C09920 , Oc1ccc2[C@H]3c4cc(O)c(O)cc4C[C@@]3(O)COc2c1
C09927 , CC(C)C[C@@H]1[C@H]2CC(C=C[C@@]2(C)Oc3c(C=O)c(O)c(C=O)c(O)c13)C(C)C
C09926 , COC1=CC(=O)OC(CCc2ccc3OCOc3c2)C1
C09925 , COC1=CC(=O)OC(=C1)\C=C\c2ccccc2
C09924 , COc1cc(cc(OC)c1O)[C@H]2Oc3ccc4C=CC(=O)Oc4c3O[C@@H]2CO
C03408 , N
C03409 , N
C15346 , N
C03402 , N
C06163 , N
C03400 , N
C03401 , NC[C@H](N)C(O)=O
C03406 , N[C@@H](CCCN=C(N)N[C@@H](CC(O)=O)C(O)=O)C(O)=O
C06167 , None
C03404 , COC(=O)[C@@H](N)Cc1ccc(O)cc1
C06165 , COc1cc2c3c(OC)cc4OCOc4c3c[n+](C)c2c5cc6OCOc6cc15
C07569 , CCCC1=CC(=O)NC(=S)N1
C07568 , [H+].O.[Cl-].Clc1cc2NC(=O)Cc2cc1CCN3CCN(CC3)c4nsc5ccccc45
C04180 , N
C04181 , N
C04186 , N
C04187 , N
C04185 , N
C07561 , ClC(Cl)(Cl)Cl
C07560 , Cc1ccccc1N2C(=Nc3ccccc3C2=O)C
C04188 , N
C08251 , OC[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@H]1O
C07565 , CC(=O)Nc1ccccc1
C07564 , [H+].[Cl-].CCCN(CCC)CCc1cccc2NC(=O)Cc12
C07567 , Fc1ccc(cc1)n2cc(C3CCN(CC3)CCN4CCNC4=O)c5cc(Cl)ccc25
C07566 , Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5
C00692 , N
C00693 , N
C00691 , OC1[C@@H](O)[C@H](O)C(=O)[C@H](O)[C@H]1O
C00696 , CCCCC[C@H](O)/C=C/[C@@H]1[C@@H](C\C=C/CCCC(O)=O)[C@@H](O)CC1=O
C00697 , N#N
C00694 , N
C00695 , C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
C03617 , N
C00698 , [Cl-]
C05371 , CO[C@@H](Cc1ccccc1)[C@@H](C)/C=C(C)/C=C/[C@@H]2NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](C)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]2C)C(O)=O)C(O)=O
C00061 , Cc1cc2N=C3C(=O)NC(=O)N=C3N(CC(O)C(O)C(O)CO[P](O)(O)=O)c2cc1C
C19526 , Cc1ccc(N\N=C2/C(=O)C=Cc3ccccc23)c(C)c1
C16969 , C[C@]12CCC3C(CC[C@]4(O)C[C@@H](O)CC[C@]34C=O)[C@@]1(O)CC[C@@H]2C5=COC(=O)C=C5
C11248 , N[C@@H]1CN(CC12CC2)c3c(F)cc4C(=O)C(=CN(C5C[C@@H]5F)c4c3Cl)C(O)=O
C11539 , N
C11538 , N
C19255 , Cn1c(N)nc2c1ccc3ncc(C)nc23
C11243 , N
C11242 , N
C16217 , CCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)CO[P](O)(=O)O[P](O)(=O)OCC1OC(C(O)C1O[P](O)(O)=O)n2cnc3c(N)ncnc23
C11240 , CN1CCN(CC1)c2c(F)cc3C(=O)C(=CN4CCSc2c34)C(O)=O
C11531 , N
C11246 , N
C16213 , Oc1cc2ccccc2cc1O
C16212 , OC(=O)c1cc2ccccc2cc1O
C19257 , CC1CN1
C14839 , BrC1=CC2OC2C=C1
C18309 , N
C00060 , N
C18308 , N
C19993 , N
C19252 , [H+].[Cl-].CC1=CC(C=CC1=N)=C(c2ccc(N)cc2)c3ccc(N)cc3
C19992 , CC(=O)O[C@@H]1CC23C[C@@](C)(O)[C@@H](CC[C@H]2[C@@](C)(O)[C@@H]4[C@@H]5O[C@@H]5C(C)(C)[C@@]14O)C3OC(C)=O
C19253 , Cc1cc2c([nH]c3ccccc23)nc1N
C19991 , C[C@H]1C[C@]2(O)[C@@H](OC(C)=O)[C@@H](C)\C=C/C(C)(C)[C@@H](C[C@@H](OC(C)=O)\C(=C/[C@H]2[C@H]1OC(=O)c3ccccc3)C)OC(C)=O
C18305 , N
C19990 , CCN1CC2(COC)C(O)CC(OC)C34[C@@H]5C[C@@]6(O)C(O)[C@@H]5[C@](O)(C(O)C6OC)C(C(OC)[C@H]23)[C@@H]14
C09259 , CC1(C)Oc2cc3OC(=O)C=Cc3cc2C[C@@H]1O
