C=C(CC=C(C)C=O)C(C)C,(Z)-2-Methyl-5-isopropylhexa-2;5-dienal,C04435,!(Z)-2-Methyl-5-isopropylhexa-2;5-dienal!
CC(CCCC(CO)CO)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,5alpha-Cyprinol,C16890,!5alpha-Cyprinol!
OCc1ccc(O)cc1,p-Hydroxybenzyl alcohol,C17467,!p-Hydroxybenzyl alcohol!
N#CC(O)c1ccc(O)cc1,4-Hydroxymandelonitrile,C00650,!4-Hydroxymandelonitrile!
O=C(CC(O)(CC(=O)OCc1ccc(OC2OC(CO)C(O)C(O)C2O)cc1)C(=O)O)OCc1ccc(OC2OC(CO)C(O)C(O)C2O)cc1,Parishin C,C17466,!Parishin C!
CCc1c2c(nc3ccc(OC4OC(C(=O)O)C(O)C(O)C4O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)C3(O)CC,SN38 glucuronide,C11376,!SN38 glucuronide!
CC1=C(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C12,Pseudoprotodioscin,C17469,!Pseudoprotodioscin!
CNC1CCC2(C)C(CC=C3C2CCC2(C)C3CCC2C(C)C=CC2=C(C)CN(C)CC2)C1,Plakinamine B,C16895,!Plakinamine B!
COC1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(C)C(O)C(O)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C2C1C,Methylprotodioscin,C17468,!Methylprotodioscin!
C=Cc1cncc2c1CCOC2=O,Gentianine,C06525,!Gentianine!
C=C1C(=O)OC2C1CCC(=C)C1CC(OC3OC(CO)C(O)C(O)C3O)C(=C)C12,Vernoflexuoside,C09579,!Vernoflexuoside!
CC(C)(N)C(=O)O,2-Amino-2-methylpropanoate,C03665,!2-Amino-2-methylpropanoate!
CC(C)C1CC2C3(C)CC4(O)OC(C5C(C)C(O)CC53O)C2(O)C14C,Cinncassiol D4,C17656,!Cinncassiol D4!
CN(C)CCOP(=O)(O)O,Phosphodimethylethanolamine,C13482,!Phosphodimethylethanolamine!
CC=CC1C(C(=O)OCc2c(F)c(F)c(COC)c(F)c2F)C1(C)C,Metofluthrin,C13487,!Metofluthrin!
O=C(O)CCCCCCCC(O)C(O)CCCCCCCCO,9;10;18-Trihydroxystearate,C19621,!9;10;18-Trihydroxystearate!
O=C(O)CCCCCCCC1OC1CCCCCCCCO,9;10-Epoxy-18-hydroxystearate,C19620,!9;10-Epoxy-18-hydroxystearate!
O=C(O)CCCCCCCCCCCCCCCCCCCCCO,22-Hydroxydocosanoate,C19623,!22-Hydroxydocosanoate!
O=C(O)CCCCCCCCCCCCCCCCCCCCC(=O)O,Docosanedioate,C19625,!Docosanedioate!
O=CCCCCCCCCCCCCCCCCCCCCC(=O)O,22-Oxodocosanoate,C19624,!22-Oxodocosanoate!
CC1C(OS(=O)(=O)O)CC2CC(C(O)c3cc(=O)[nH]c(=O)[nH]3)NC3=NCC1N32,Cylindrospermopsin,C19999,!Cylindrospermopsin!
CCCCCCCCCCCCCCC(=O)O,Pentadecanoic acid,C16537,!Pentadecanoic acid!
NO,Hydroxylamine,C00192,!Hydroxylamine!
CC(=O)NCCCCNC(=N)N,Acetylagmatine,C02131,!Acetylagmatine!
CC(=O)OC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,Acetyl-maltose,C02130,!Acetyl-maltose!
O=COP(=O)(O)O,Acyl phosphate,C02133,!Acyl phosphate!
CC(=O)CC(=O)C(=O)O,Acetylpyruvate,C02132,!Acetylpyruvate!
CCC(C)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(NC(=O)C(CCCNC(=N)N)NC(=O)C(N)CC(=O)O)C(C)C)C(=O)NC(Cc1cnc[nH]1)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O,Angiotensin II,C02135,!Angiotensin II!
COc1ccc2c(c1OC)CN(C)CCc1cc3c(cc1C(=O)C2)OCO3,Allocryptopine,C02134,!Allocryptopine!
O=C(O)C(=O)c1ccccc1,alpha-Oxo-benzeneacetic acid,C02137,!alpha-Oxo-benzeneacetic acid!
