;CMPD;CMPD_SMILES
0;additional information;None
1;caffeic acid;C1=CC(=C(C=C1/C=C/C(=O)O)O)O
2;4-iodopyrazole;C1=C(C=NN1)I
3;4-androsten-3,17-dione;C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C
4;5alpha-androstan-17beta-ol-3-one;C[C@]12CCC(=O)C[C@@H]1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@H]4O)C
5;pyrazole;C1=CNN=C1
6;Vanillin;COC1=C(C=CC(=C1)C=O)O
7;4-Methylpyrazole;CC1=CNN=C1
8;syringaldehyde;COC1=CC(=CC(=C1O)OC)C=O
9;ellagic acid;C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O
10;mithramycin;C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2C[C@@H](O[C@@H]([C@H]2O)C)OC3=CC4=CC5=C(C(=O)[C@H]([C@@H](C5)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]6C[C@H]([C@@H]([C@H](O6)C)O)O[C@H]7C[C@H]([C@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@@H]([C@H](O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O
11;octanoic acid;CCCCCCCC(=O)O
12;cyclohexylformamide;C1CCC(CC1)NC=O
13;furfural;C1=COC(=C1)C=O
14;ethanol;CCO
15;Butyraldehyde;CCCC=O
16;Cyclohexanol;C1CCC(CC1)O
17;acetaldehyde;CC=O
18;5-hydroxymethylfurfural;C1=C(OC(=C1)C=O)CO
19;propan-2-ol;CC(C)O
20;4-methyl-[1,2,3]-thiadiazole-5-carboxylic acid benzyloxyamide;None
21;3-hydroxybutyryl-CoA;CC(CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
22;adenosine-5'-diphosphoribose;None
23;pyruvate;CC(=O)C(=O)[O-]
24;cellular retinol binding protein;None
25;13-cis-retinoic acid;CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C
26;3,4-didehydroretinol;CC1=C(C(CC=C1)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C
27;3,4-didehydroretinoic acid;CC1=C(C(CC=C1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C
28;NADPH;C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O
29;NAD(P)+;None
30;NADP+;C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N
31;NAD+;C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
32;Hexestrol;CC[C@H](C1=CC=C(C=C1)O)[C@@H](CC)C2=CC=C(C=C2)O
33;1,10-phenanthroline;C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1
34;2,3-benzofuran;C1=CC=C2C(=C1)C=CO2
35;indole;C1=CC=C2C(=C1)C=CN2
36;GMP;C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N=C(NC2=O)N
37;Cu2+;[Cu+2]
38;D-mannitol;C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
39;mannitol;C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
40;2-hydroxymethyl-4-(4-N,N-dimethylaminosulfonyl-1-piperazino)pyrimidine;None
41;2,3-Dithiopropanol;C(C(CS)S)O
42;Disulfiram;CCN(CC)C(=S)SSC(=S)N(CC)CC
43;NADH;C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
44;Cibacron Blue 3G-A;C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=C(C=C4)NC5=NC(=NC(=N5)NC6=CC=CC=C6S(=O)(=O)O)Cl)S(=O)(=O)O)S(=O)(=O)O)N
45;Berberine;COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC
46;1,2-dithioethane;None
47;Eriochrome Black T;C1=CC=C2C(=C1)C=CC(=C2O)N=NC3=C4C=CC(=CC4=C(C=C3O)S(=O)(=O)[O-])[N+](=O)[O-].[Na+]
48;quercetin;C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
49;1-thiosorbitol;C([C@H]([C@H]([C@@H]([C@H](CS)O)O)O)O)O
50;4-hydroxy-3-methoxy-phenylethyl alcohol;None
51;Valproic acid;CCCC(CCC)C(=O)O
52;cyanamide;C(#N)N
53;Diethylthiocarbamate;CCN(CC)C(=O)S
54;Penicillamine;CC(C)([C@H](C(=O)O)N)S
55;thiocyanate;C(#N)[S-]
56;3,4-dihydroxyphenyl-1-hydroxyacetic acid;None
57;5-[4-(cyclohexylethoxy)benzylidene]-2,4-thiazolidenedione;None
58;5-[4-(cyclohexylpropoxy)benzylidene]-2,4-thiazolidenedione;None
59;5-[4-(cyclohexylmethoxy)benzylidene]-2,4-thiazolidenedione;None
60;5-[4-((1-methyl)-cyclohexylmethoxy)benzylidene]-2,4-thiazolidenedione;None
61;5-[4-(cyclohexyloxy)benzylidene]-2,4-thiazolidenedione;None
62;5-[4-(benzoxy)benzylidene]-2,4-thiazolidenedione;None
63;5-[4-((1-methyl)-cyclohexylmethoxy)benzyl]-2,4-thiazolidenedione;None
64;5-[4-(cyclohexylbutoxy)benzylidene]-2,4-thiazolidenedione;None
65;prostaglandin E2;CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O)O
66;prostaglandin E1;CCCCC[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O)O
67;4-methoxybenzylidene-2,4-thiazolidinedione;None
68;15-ketoprostaglandin E2;CCCCCC(=O)/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1C/C=C\CCCC(=O)O)O
69;papaverine;COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC
70;prostaglandin F2alpha;CCCCC[C@@H](/C=C/[C@H]1[C@@H](C[C@@H]([C@@H]1C/C=C\CCCC(=O)O)O)O)O
71;indomethacin;CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
72;15-ketoprostaglandin E1;CCCCCC(=O)/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)O)O
73;4-methoxybenzyl-2,4-thiazolidinedione;None
74;cyanoketone;C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC=C4[C@@]3(C[C@H](C(=O)C4(C)C)C#N)C
75;epostane;C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@]45[C@@]3(CC(=C([C@]4(O5)C)O)C#N)C
76;nestorone;CC(=O)[C@]1(C(=C)C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)OC(=O)C
77;trilostane;C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CC[C@]45[C@@]3(CC(=C([C@H]4O5)O)C#N)C
78;nomegestrol acetate;CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@H]4C1=CC(=O)CC4
79;genistein;C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
80;6-hydroxyflavone;C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC(=C3)O
81;drospirenone;C[C@]12CCC(=O)C=C1[C@@H]3C[C@@H]3[C@@H]4[C@@H]2CC[C@]5([C@H]4[C@@H]6C[C@@H]6[C@@]57CCC(=O)O7)C
82;17beta-acetoxy-trilostane;None
83;16-cyano-17-keto-trilostane;None
84;tributyltin;CCCC[Sn](CCCC)CCCC
85;4alpha,5alpha-epoxy-testosterone;None
86;2,16-dicyano-4,5-epoxy-androstane-3,17-dione;None
87;N-(6-aminopyridin-2-yl)-4'-cyanobiphenyl-4-sulfonamide;C1=CC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)C3=CC=C(C=C3)C#N)N
88;4'-cyano-N-[6-(propan-2-yl)pyridin-2-yl]biphenyl-4-sulfonamide;None
89;4'-cyano-N-(6-cyclopropylpyridin-2-yl)biphenyl-4-sulfonamide;None
90;2-(3-noradamantylamino)-1-thia-3-azaspiro[4.4]non-2-en-4-one;None
91;4'-cyano-N-(6-methylpyridin-2-yl)biphenyl-4-sulfonamide;None
92;4'-cyano-N-[6-(ethylamino)pyridin-2-yl]biphenyl-4-sulfonamide;None
93;glycyrrhetinic acid;C[C@]12CC[C@](C[C@H]1C3=CC(=O)[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)(C)C(=O)O
94;4'-chloro-N-(6-methylpyridin-2-yl)biphenyl-4-sulfonamide;None
95;4'-cyano-N-(6-ethylpyridin-2-yl)biphenyl-4-sulfonamide;None
96;4'-cyano-N-[6-(methylamino)pyridin-2-yl]biphenyl-4-sulfonamide;None
97;(+/-)-5-methyl-2-(3-noradamantylamino)-5-propyl-1,3-thiazol-4-(5H)-one;None
98;(S)-2-((1S,2S,4R)-bicyclo[2.2.1]heptan-2-ylamino)-5-isopropylthiazol-4(5H)-one;CC(C)C1=C(N=C(S1)N[C@H]2C[C@@H]3CC[C@H]2C3)O
99;(S)-2-((1S,2S,4R)-bicyclo[2.2.1]heptan-2-ylamino)-5-isopropyl-5-methylthiazol-4(5H)-one;CC(C)[C@]1(C(=O)NC(=N[C@H]2C[C@@H]3CC[C@H]2C3)S1)C
100;(+/-)-5-ethyl-5-methyl-2-(3-noradamantylamino)-1,3-thiazol-4-(5H)-one;None
101;5,5-diethyl-2-(3-noradamantylamino)-1,3-thiazol-4-(5H)-one;None
102;2-(cyclooctylamino)-1-thia-3-azaspiro[4.4]non-2-en-4-one;C1CCCC(CCC1)N=C2NC(=O)C3(S2)CCCC3
103;2-[(1S,2S,4R)-bicyclo[2.2.1]hept-2-ylamino]-5-methyl-5-(propan-2-yl)-1,3-thiazol-4(5H)-one;None
104;2-(1-adamantylamino)-5,5-diethyl-1,3-thiazol-4-(5H)-one;None
105;4'-fluoro-N-(6-methylpyridin-2-yl)biphenyl-4-sulfonamide;None
106;(+/-)-2-(1-adamantylamino)-5-ethyl-5-methyl-1,3-thiazol-4-(5H)-one;None
107;(+/-)-2-(1-adamantylamino)-5-methyl-5-propyl-1,3-thiazol-4-(5H)-one;None
108;(+/-)-5-methyl-2-(1-norbornylamino)-5-propyl-1,3-thiazol-4-(5H)-one;None
109;2-(cyclooctylamino)-5,5-diethyl-1,3-thiazol-4-(5H)-one;None
110;(S)-2-((1R,2R,4S)-bicyclo[2.2.1]heptan-2-ylamino)-5-isopropyl-5-methylthiazol-4(5H)-one;CC(C)[C@]1(C(=O)NC(=N[C@@H]2C[C@H]3CC[C@@H]2C3)S1)C
111;(+/-)-2-(cyclooctylamino)-5-methyl-5-propyl-1,3-thiazol-4-(5H)-one;None
112;2-(1-adamantylamino)-1-thia-3-azaspiro[4.4]non-2-en-4-one;None
113;(R)-2-((1S,2S,4R)-bicyclo[2.2.1]heptan-2-ylamino)-5-isopropyl-5-methylthiazol-4(5H)-one;CC(C)[C@@]1(C(=O)NC(=N[C@H]2C[C@@H]3CC[C@H]2C3)S1)C
114;(+/-)-2-(cycloheptylamino)-5-methyl-5-propyl-1,3-thiazol-4-(5H)-one;None
115;(+/-)-2-((cyclohexylmethyl)amino)-5-methyl-5-propyl-1,3-thiazol-4-(5H)-one;None
116;(+/-)-5-methyl-5-propyl-2-[(2,2,3,3-tetramethylcyclopropyl)amino]-1,3-thiazol-4-(5H)-one;None
117;(+/-)-2-(cyclooctylamino)-5-ethyl-5-methyl-1,3-thiazol-4-(5H)-one;None
118;(R)-2-((1R,2R,4S)-bicyclo[2.2.1]heptan-2-ylamino)-5-isopropyl-5-methylthiazol-4(5H)-one;CC(C)[C@@]1(C(=O)NC(=N[C@@H]2C[C@H]3CC[C@@H]2C3)S1)C
119;N-(6-methylpyridin-2-yl)biphenyl-4-sulfonamide;None
120;arylsulfoamidothiazole;None
121;(+/-)-2-(cyclohexylamino)-5-methyl-5-propyl-1,3-thiazol-4-(5H)-one;None
122;(+/-)-5-ethyl-5-methyl-2-[(2,2,3,3-tetramethylcyclopropyl)amino]-1,3-thiazol-4-(5H)-one;None
123;2-(bicyclo[2.2.1]hept-2-ylamino)-5-(propan-2-yl)-1,3-thiazol-4(5H)-one;None
124;4'-methyl-N-(6-methylpyridin-2-yl)biphenyl-4-sulfonamide;None
125;(+/-)-2-((cyclohexylmethyl)amino)-5-ethyl-5-methyl-1,3-thiazol-4-(5H)-one;None
126;(+/-)-5-ethyl-5-methyl-2-(1-norbornylamino)-1,3-thiazol-4-(5H)-one;None
127;(+/-)-2-(cycloheptylamino)-5-ethyl-5-methyl-1,3-thiazol-4-(5H)-one;None
128;N-(6-methylpyridin-2-yl)naphthalene-2-sulfonamide;CC1=NC(=CC=C1)NS(=O)(=O)C2=CC3=CC=CC=C3C=C2
129;N-(6-methylpyridin-2-yl)-4-(trifluoromethyl)benzenesulfonamide;None
130;(+/-)-2-(cyclohexylamino)-5-ethyl-5-methyl-1,3-thiazol-4-(5H)-one;None
131;(+/-)-5-methyl-2-(7-norbornylamino)-5-propyl-1,3-thiazol-4-(5H)-one;None
132;3-chloro-2-methyl-N-(6-methylpyridin-2-yl)benzenesulfonamide;None
133;3-chloro-2-methyl-N-[6-[2-oxo-2-(piperidin-1-yl)ethyl]pyridin-2-yl]benzenesulfonamide;None
134;(S)-2-((1R,2R,4S)-bicyclo[2.2.1]heptan-2-ylamino)-5-isopropylthiazol-4(5H)-one;None
135;2-(6-[[(3-chloro-2-methylphenyl)sulfonyl]amino]pyridin-2-yl)-N,N-diethylacetamide;None
136;(R)-2-((1S,2S,4R)-bicyclo[2.2.1]heptan-2-ylamino)-5-isopropylthiazol-4(5H)-one;None
137;(+/-)-5-ethyl-5-methyl-2-(7-norbornylamino)-1,3-thiazol-4-(5H)-one;None
138;(R)-2-((1R,2R,4S)-bicyclo[2.2.1]heptan-2-ylamino)-5-isopropylthiazol-4(5H)-one;CC(C)C1=C(N=C(S1)N[C@@H]2C[C@H]3CC[C@@H]2C3)O
139;fenofibrate;CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
140;fenofibric acid isobutylester;None
141;fenofibric acid ethylester;None
142;fenofibric acid n-butylester;None
143;fenofibric acid isopropyl amide;None
144;fenofibric acid cyclohexyl ester;None
145;(-)-epigallocatechin 3-gallate;C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
146;resveratrol;C1=CC(=CC=C1/C=C/C2=CC(=CC(=C2)O)O)O
147;3',3'',5',5''-tetrabromophenolphthalein;C1=CC=C2C(=C1)C(=O)OC2(C3=CC(=C(C(=C3)Br)O)Br)C4=CC(=C(C(=C4)Br)O)Br
148;3-chloro-5-phenylsalicylic acid;C1=CC=C(C=C1)C2=CC(=C(C(=C2)Cl)O)C(=O)O
149;5-chloro-4-hydroxybiphenyl-3-carboxylic acid;C1=CC=C(C=C1)C2=CC(=C(C(=C2)Cl)O)C(=O)O
150;5-chloro-4-hydroxy-3'-methylbiphenyl-3-carboxylic acid;None
151;5-fluoro-4-hydroxybiphenyl-3-carboxylic acid;C1=CC=C(C=C1)C2=CC(=C(C(=C2)F)O)C(=O)O
152;4'-butyl-5-chloro-4-hydroxybiphenyl-3-carboxylic acid;None
153;5-chloro-4-hydroxy-4'-methylbiphenyl-3-carboxylic acid;None
154;3-bromo-5-phenylsalicylic acid;C1=CC=C(C=C1)C2=CC(=C(C(=C2)Br)O)C(=O)O
155;3,5-dichlorosalicylic acid;C1=C(C=C(C(=C1C(=O)O)O)Cl)Cl
156;3,5-dibromosalicylic acid;C1=C(C=C(C(=C1C(=O)O)O)Br)Br
157;3,5-diiodosalicylic acid;C1=C(C=C(C(=C1C(=O)O)O)I)I
158;3-phenyl-5-bromosalicylic acid;C1=CC=C(C=C1)C2=C(C(=CC(=C2)Br)C(=O)O)O
159;Diazotized 3-aminopyridine adenine dinucleotide phosphate;None
160;adenosine 2'-monophospho- 5'-diphosphoribose;C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)OP(=O)(O)OC[C@@H]4[C@H]([C@H](C(O4)O)O)O)N
161;2',5'-adenosine bisphosphate;None
162;aminopyridine adenine dinucleotide phosphate;None
163;salicylate;C1=CC=C(C(=C1)C(=O)O)[O-]
164;aminopyridine 1,N6-ethenoadenine dinucleotide phosphate;None
165;2-(4-chlorobenzylidene)cyclopentanone;C1C/C(=C\C2=CC=C(C=C2)Cl)/C(=O)C1
166;Acetylsalicylate;CC(=O)OC1=CC=CC=C1C(=O)O
167;Diazotized 3-aminopyridine 1,N6-ethenoadenine dinucleotide phosphate;None
